Model,MAE,RMSE,MAPE,R2
LightGBM,16.75391982576795,21.88002612544167,13.069203325748365,0.8725174037685524
XGBoost,17.01362876491682,22.377377726602944,13.198802438442916,0.8666559589333397
Baseline (Lag 7),32.74723404255319,47.17757250556381,24.391135219572483,0.40731162572917445
